City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
217,hammerfest,70.6634,23.6821,0.25,74,0,4.12,NO,1709154347
218,komsomolets,53.7453,62.0708,-15.11,94,35,1.71,KZ,1709154347
219,cukai,4.25,103.4167,25.0,79,100,2.51,MY,1709154347
220,marsh harbour,26.5412,-77.0636,22.99,70,29,6.35,BS,1709154347
221,acarau,-2.8856,-40.12,25.77,85,100,2.17,BR,1709154347
222,ancud,-41.8697,-73.8203,15.64,62,28,3.67,CL,1709154348
223,dombarovskiy,50.7587,59.5386,-10.56,89,99,2.24,RU,1709154348
224,centar zupa,41.4681,20.5589,11.85,90,100,2.6,MK,1709154348
225,zhangye,38.9342,100.4517,-6.62,82,100,0.95,CN,1709154348
226,mek'ele,13.4967,39.4753,18.41,62,38,1.85,ET,1709154349
227,illapel,-31.6308,-71.1653,27.8,45,0,3.69,CL,1709154349
228,pariaman,-0.619,100.12,26.03,84,59,1.95,ID,1709154349
229,kastsyukovichy,53.3516,32.0506,1.0,81,100,4.74,BY,1709154349
230,quiberon,47.4841,-3.1196,12.82,94,100,2.68,FR,1709154349
231,cidade velha,14.9167,-23.6167,23.26,78,75,8.23,CV,1709154350
232,olinda,-8.0089,-34.8553,28.85,79,75,5.14,BR,1709154350
233,tadjourah,12.0,42.5,25.68,61,29,1.27,DJ,1709154350
234,ljungby,56.8332,13.9408,3.67,90,100,2.93,SE,1709154350
235,dakhla,23.6848,-15.958,18.01,77,100,10.29,EH,1709154351
236,port alfred,-33.5906,26.891,21.21,78,0,4.02,ZA,1709154351
237,hasaki,35.7333,140.8333,2.22,56,72,2.76,JP,1709154355
238,geraldton,-28.7667,114.6,21.23,83,100,6.69,AU,1709154355
239,nar'yan-mar,67.6713,53.087,-4.94,94,100,5.36,RU,1709154356
240,sidi khaled,34.387,4.9879,11.3,56,86,7.86,DZ,1709154356
241,kone,-21.0595,164.8658,27.53,71,43,2.19,NC,1709154356
242,happy valley-goose bay,53.3168,-60.3315,7.17,76,75,8.75,CA,1709154357
243,george town,5.4112,100.3354,27.96,62,20,3.6,MY,1709153999
244,cabo san lucas,22.8909,-109.9124,27.01,57,100,3.58,MX,1709154002
245,al kharijah,25.4514,30.5464,17.62,38,0,3.24,EG,1709154357
246,coquimbo,-29.9533,-71.3436,22.85,64,0,5.14,CL,1709154357
247,aripuana,-9.1667,-60.6333,26.28,84,100,0.59,BR,1709154358
248,prince rupert,54.3161,-130.3201,3.05,75,40,2.06,CA,1709154358
249,beaumont,30.0861,-94.1019,20.99,38,0,9.26,US,1709154358
250,suklayin,15.7574,121.5503,21.01,93,70,1.4,PH,1709154358
251,aasiaat,68.7098,-52.8699,-11.67,90,100,3.32,GL,1709154199
252,malpica,43.3228,-8.8105,12.19,80,100,3.04,ES,1709154359
253,isafjordur,66.0755,-23.124,-7.57,85,95,0.51,IS,1709154359
254,ismayilli,40.779,48.1638,-0.6,70,71,1.02,AZ,1709154359
255,sao vicente,-23.9631,-46.3919,29.1,47,40,1.03,BR,1709154359
256,fonte boa,-2.4959,-66.2662,24.38,95,99,1.62,BR,1709154359
257,vila franca do campo,37.7167,-25.4333,15.23,76,34,2.69,PT,1709154360
258,hithadhoo,-0.6,73.0833,24.95,89,100,2.68,MV,1709154360
259,yeniseysk,58.4497,92.1703,-8.36,91,100,4.02,RU,1709154360
260,roscommon,53.6333,-8.1833,7.84,85,100,8.42,IE,1709154360
